DateTime_Local,CO2
29/04/2022 00:03,394
29/04/2022 00:58,400
29/04/2022 01:18,387
29/04/2022 01:43,410
29/04/2022 02:08,411
29/04/2022 02:13,405
29/04/2022 02:18,407
29/04/2022 02:28,395
29/04/2022 02:38,406
29/04/2022 02:43,413
29/04/2022 02:48,403
29/04/2022 02:53,396
29/04/2022 02:58,397
29/04/2022 03:03,394
29/04/2022 03:08,403
29/04/2022 03:13,392
29/04/2022 03:18,399
29/04/2022 03:23,401
29/04/2022 03:28,401
29/04/2022 03:33,404
29/04/2022 03:53,407
29/04/2022 04:03,415
29/04/2022 04:18,403
29/04/2022 04:23,401
29/04/2022 04:28,398
29/04/2022 04:33,399
29/04/2022 04:48,398
29/04/2022 04:53,401
29/04/2022 04:58,388
29/04/2022 05:03,405
29/04/2022 05:08,402
29/04/2022 05:18,414
29/04/2022 05:28,406
29/04/2022 05:33,409
29/04/2022 05:38,400
29/04/2022 05:48,405
29/04/2022 05:53,405
29/04/2022 05:58,399
29/04/2022 06:03,399
29/04/2022 06:08,396
29/04/2022 06:13,398
29/04/2022 06:18,407
29/04/2022 06:23,403
29/04/2022 06:28,406
29/04/2022 06:33,406
29/04/2022 06:38,408
29/04/2022 06:43,418
29/04/2022 06:48,410
29/04/2022 06:53,402
29/04/2022 06:58,414
29/04/2022 07:03,405
29/04/2022 07:08,414
29/04/2022 07:13,413
29/04/2022 07:18,411
29/04/2022 07:23,409
29/04/2022 07:28,402
29/04/2022 07:38,404
29/04/2022 07:43,425
29/04/2022 07:48,409
29/04/2022 07:53,413
29/04/2022 07:58,418
29/04/2022 08:03,409
29/04/2022 08:08,398
29/04/2022 08:23,416
29/04/2022 08:28,410
29/04/2022 08:33,414
29/04/2022 08:38,428
29/04/2022 08:43,413
29/04/2022 08:48,412
29/04/2022 09:03,419
29/04/2022 09:08,415
29/04/2022 09:13,410
29/04/2022 09:28,413
29/04/2022 09:33,413
29/04/2022 09:38,424
29/04/2022 09:43,418
29/04/2022 09:48,418
29/04/2022 09:53,412
29/04/2022 09:58,405
29/04/2022 10:03,420
29/04/2022 10:08,434
29/04/2022 10:13,429
29/04/2022 10:18,436
29/04/2022 10:23,440
29/04/2022 10:28,429
29/04/2022 10:33,431
29/04/2022 10:38,434
29/04/2022 10:43,426
29/04/2022 10:48,443
29/04/2022 10:53,431
29/04/2022 10:58,446
29/04/2022 11:03,437
29/04/2022 11:08,444
29/04/2022 11:13,446
29/04/2022 11:18,451
29/04/2022 11:28,458
29/04/2022 11:38,457
29/04/2022 11:48,458
29/04/2022 11:53,447
29/04/2022 11:58,422
29/04/2022 12:03,464
29/04/2022 12:08,453
29/04/2022 12:13,459
29/04/2022 12:18,435
29/04/2022 12:28,463
29/04/2022 12:33,466
29/04/2022 12:38,442
29/04/2022 12:43,449
29/04/2022 12:48,452
29/04/2022 12:53,442
29/04/2022 12:58,444
29/04/2022 13:03,437
29/04/2022 13:08,424
29/04/2022 13:13,444
29/04/2022 13:18,428
29/04/2022 13:23,434
29/04/2022 13:28,421
29/04/2022 13:33,435
29/04/2022 13:38,436
29/04/2022 13:43,437
29/04/2022 13:48,430
29/04/2022 13:53,422
29/04/2022 13:58,428
29/04/2022 14:08,430
29/04/2022 14:18,432
29/04/2022 14:23,443
29/04/2022 14:28,435
29/04/2022 14:33,433
29/04/2022 14:38,446
29/04/2022 14:43,434
29/04/2022 14:48,460
29/04/2022 14:53,443
29/04/2022 15:03,441
29/04/2022 15:08,470
29/04/2022 15:13,460
