DateTime_Local,Light
29/04/2022 00:03,0
29/04/2022 00:58,3
29/04/2022 01:18,3
29/04/2022 01:43,3
29/04/2022 02:08,3
29/04/2022 02:13,3
29/04/2022 02:18,3
29/04/2022 02:28,3
29/04/2022 02:38,3
29/04/2022 02:43,0
29/04/2022 02:48,0
29/04/2022 02:53,3
29/04/2022 02:58,0
29/04/2022 03:03,3
29/04/2022 03:08,3
29/04/2022 03:13,0
29/04/2022 03:18,3
29/04/2022 03:23,0
29/04/2022 03:28,0
29/04/2022 03:33,3
29/04/2022 03:53,3
29/04/2022 04:03,3
29/04/2022 04:18,3
29/04/2022 04:23,0
29/04/2022 04:28,3
29/04/2022 04:33,3
29/04/2022 04:48,3
29/04/2022 04:53,3
29/04/2022 04:58,3
29/04/2022 05:03,3
29/04/2022 05:08,3
29/04/2022 05:18,3
29/04/2022 05:28,3
29/04/2022 05:33,3
29/04/2022 05:38,3
29/04/2022 05:48,3
29/04/2022 05:53,3
29/04/2022 05:58,3
29/04/2022 06:03,3
29/04/2022 06:08,3
29/04/2022 06:13,3
29/04/2022 06:18,3
29/04/2022 06:23,178
29/04/2022 06:28,178
29/04/2022 06:33,175
29/04/2022 06:38,175
29/04/2022 06:43,175
29/04/2022 06:48,168
29/04/2022 06:53,175
29/04/2022 06:58,185
29/04/2022 07:03,181
29/04/2022 07:08,185
29/04/2022 07:13,181
29/04/2022 07:18,181
29/04/2022 07:23,185
29/04/2022 07:28,185
29/04/2022 07:38,181
29/04/2022 07:43,178
29/04/2022 07:48,181
29/04/2022 07:53,181
29/04/2022 07:58,181
29/04/2022 08:03,191
29/04/2022 08:08,191
29/04/2022 08:23,191
29/04/2022 08:28,195
29/04/2022 08:33,195
29/04/2022 08:38,195
29/04/2022 08:43,195
29/04/2022 08:48,198
29/04/2022 09:03,198
29/04/2022 09:08,202
29/04/2022 09:13,198
29/04/2022 09:28,198
29/04/2022 09:33,205
29/04/2022 09:38,205
29/04/2022 09:43,205
29/04/2022 09:48,202
29/04/2022 09:53,202
29/04/2022 09:58,208
29/04/2022 10:03,202
29/04/2022 10:08,198
29/04/2022 10:13,198
29/04/2022 10:18,198
29/04/2022 10:23,205
29/04/2022 10:28,205
29/04/2022 10:33,202
29/04/2022 10:38,202
29/04/2022 10:43,205
29/04/2022 10:48,205
29/04/2022 10:53,202
29/04/2022 10:58,198
29/04/2022 11:03,195
29/04/2022 11:08,202
29/04/2022 11:13,205
29/04/2022 11:18,202
29/04/2022 11:28,202
29/04/2022 11:38,198
29/04/2022 11:48,198
29/04/2022 11:53,198
29/04/2022 11:58,191
29/04/2022 12:03,198
29/04/2022 12:08,198
29/04/2022 12:13,195
29/04/2022 12:18,191
29/04/2022 12:28,195
29/04/2022 12:33,195
29/04/2022 12:38,195
29/04/2022 12:43,191
29/04/2022 12:48,188
29/04/2022 12:53,191
29/04/2022 12:58,195
29/04/2022 13:03,191
29/04/2022 13:08,191
29/04/2022 13:13,188
29/04/2022 13:18,191
29/04/2022 13:23,195
29/04/2022 13:28,191
29/04/2022 13:33,191
29/04/2022 13:38,191
29/04/2022 13:43,191
29/04/2022 13:48,191
29/04/2022 13:53,188
29/04/2022 13:58,188
29/04/2022 14:08,188
29/04/2022 14:18,188
29/04/2022 14:23,188
29/04/2022 14:28,188
29/04/2022 14:33,188
29/04/2022 14:38,188
29/04/2022 14:43,188
29/04/2022 14:48,188
29/04/2022 14:53,188
29/04/2022 15:03,188
29/04/2022 15:08,165
29/04/2022 15:13,178
29/04/2022 15:18,185
29/04/2022 15:23,185
29/04/2022 15:28,185
29/04/2022 15:38,188
29/04/2022 15:48,188
29/04/2022 15:58,185
29/04/2022 16:03,185
29/04/2022 16:08,181
29/04/2022 16:13,181
29/04/2022 16:18,185
29/04/2022 16:23,181
29/04/2022 16:28,181
29/04/2022 16:33,181
29/04/2022 16:48,181
29/04/2022 16:53,181
29/04/2022 16:58,181
29/04/2022 17:03,185
29/04/2022 17:18,178
29/04/2022 17:28,181
29/04/2022 17:33,181
29/04/2022 17:38,181
29/04/2022 17:43,178
29/04/2022 17:53,181
29/04/2022 17:58,181
29/04/2022 18:03,181
29/04/2022 18:08,181
29/04/2022 18:13,161
29/04/2022 18:18,181
29/04/2022 18:23,181
29/04/2022 18:28,181
29/04/2022 18:33,181
29/04/2022 18:38,181
29/04/2022 18:43,181
29/04/2022 18:48,185
29/04/2022 18:53,181
29/04/2022 18:58,181
29/04/2022 19:03,181
29/04/2022 19:08,181
29/04/2022 19:13,185
29/04/2022 19:18,181
29/04/2022 19:23,181
29/04/2022 19:28,185
29/04/2022 19:33,185
29/04/2022 19:38,185
29/04/2022 19:48,171
29/04/2022 19:53,171
29/04/2022 19:58,171
29/04/2022 20:03,168
29/04/2022 20:08,171
29/04/2022 20:23,3
29/04/2022 20:28,3
29/04/2022 20:33,3
29/04/2022 20:38,3
29/04/2022 20:43,3
29/04/2022 20:48,3
29/04/2022 20:58,3
29/04/2022 21:03,3
29/04/2022 21:08,3
29/04/2022 21:13,3
29/04/2022 21:23,3
29/04/2022 21:33,3
29/04/2022 21:38,3
29/04/2022 21:43,6
29/04/2022 21:48,3
29/04/2022 21:53,3
