DateTime_Local,Light
29/04/2022 00:02,3
29/04/2022 00:57,3
29/04/2022 01:07,3
29/04/2022 01:17,3
29/04/2022 02:07,3
29/04/2022 02:12,3
29/04/2022 02:17,3
29/04/2022 02:22,3
29/04/2022 02:27,3
29/04/2022 02:32,3
29/04/2022 02:42,3
29/04/2022 02:47,3
29/04/2022 02:57,3
29/04/2022 03:02,3
29/04/2022 03:07,3
29/04/2022 03:12,3
29/04/2022 03:17,3
29/04/2022 03:22,3
29/04/2022 03:27,3
29/04/2022 03:32,3
29/04/2022 03:37,3
29/04/2022 03:42,3
29/04/2022 03:47,3
29/04/2022 03:52,3
29/04/2022 03:57,3
29/04/2022 04:02,3
29/04/2022 04:07,3
29/04/2022 04:12,3
29/04/2022 04:17,3
29/04/2022 04:32,3
29/04/2022 04:37,3
29/04/2022 04:47,3
29/04/2022 04:52,3
29/04/2022 04:57,3
29/04/2022 05:02,3
29/04/2022 05:07,3
29/04/2022 05:17,3
29/04/2022 05:27,3
29/04/2022 05:32,3
29/04/2022 05:37,3
29/04/2022 05:42,3
29/04/2022 05:47,3
29/04/2022 05:52,3
29/04/2022 05:57,3
29/04/2022 06:02,3
29/04/2022 06:07,3
29/04/2022 06:17,3
29/04/2022 06:22,161
29/04/2022 06:27,165
29/04/2022 06:32,161
29/04/2022 06:47,158
29/04/2022 06:52,161
29/04/2022 06:57,171
29/04/2022 07:07,171
29/04/2022 07:17,171
29/04/2022 07:22,171
29/04/2022 07:27,168
29/04/2022 07:32,168
29/04/2022 07:37,168
29/04/2022 07:42,171
29/04/2022 07:47,175
29/04/2022 07:57,175
29/04/2022 08:07,178
29/04/2022 08:17,178
29/04/2022 08:22,181
29/04/2022 08:32,178
29/04/2022 08:37,181
29/04/2022 08:42,181
29/04/2022 08:47,181
29/04/2022 08:52,185
29/04/2022 08:57,185
29/04/2022 09:02,185
29/04/2022 09:12,185
29/04/2022 09:17,188
29/04/2022 09:22,188
29/04/2022 09:27,188
29/04/2022 09:32,188
29/04/2022 09:37,191
29/04/2022 09:42,191
29/04/2022 09:47,188
29/04/2022 09:52,188
29/04/2022 09:57,191
29/04/2022 10:02,191
29/04/2022 10:07,181
29/04/2022 10:12,188
29/04/2022 10:17,185
29/04/2022 10:22,191
29/04/2022 10:27,191
29/04/2022 10:32,191
29/04/2022 10:37,191
29/04/2022 10:42,191
29/04/2022 10:52,191
29/04/2022 11:02,178
29/04/2022 11:07,188
29/04/2022 11:12,191
