DateTime_Local,CO2
29/04/2022 00:02,409
29/04/2022 00:57,401
29/04/2022 01:07,393
29/04/2022 01:17,414
29/04/2022 02:07,399
29/04/2022 02:12,403
29/04/2022 02:17,398
29/04/2022 02:22,393
29/04/2022 02:27,407
29/04/2022 02:32,400
29/04/2022 02:42,400
29/04/2022 02:47,401
29/04/2022 02:57,397
29/04/2022 03:02,383
29/04/2022 03:07,399
29/04/2022 03:12,400
29/04/2022 03:17,394
29/04/2022 03:22,411
29/04/2022 03:27,406
29/04/2022 03:32,411
29/04/2022 03:37,397
29/04/2022 03:42,402
29/04/2022 03:47,400
29/04/2022 03:52,409
29/04/2022 03:57,400
29/04/2022 04:02,400
29/04/2022 04:07,404
29/04/2022 04:12,398
29/04/2022 04:17,408
29/04/2022 04:32,396
29/04/2022 04:37,408
29/04/2022 04:47,394
29/04/2022 04:52,396
29/04/2022 04:57,395
29/04/2022 05:02,399
29/04/2022 05:07,408
29/04/2022 05:17,395
29/04/2022 05:27,390
29/04/2022 05:32,404
29/04/2022 05:37,404
29/04/2022 05:42,403
29/04/2022 05:47,407
29/04/2022 05:52,412
29/04/2022 05:57,394
29/04/2022 06:02,398
29/04/2022 06:07,400
29/04/2022 06:17,406
29/04/2022 06:22,408
29/04/2022 06:27,412
29/04/2022 06:32,406
29/04/2022 06:47,415
29/04/2022 06:52,411
29/04/2022 06:57,415
29/04/2022 07:07,397
29/04/2022 07:17,405
29/04/2022 07:22,418
29/04/2022 07:27,403
29/04/2022 07:32,414
29/04/2022 07:37,414
29/04/2022 07:42,415
29/04/2022 07:47,407
29/04/2022 07:57,417
29/04/2022 08:07,402
29/04/2022 08:17,406
29/04/2022 08:22,417
29/04/2022 08:32,415
29/04/2022 08:37,409
29/04/2022 08:42,409
29/04/2022 08:47,400
29/04/2022 08:52,418
29/04/2022 08:57,413
29/04/2022 09:02,416
29/04/2022 09:12,408
29/04/2022 09:17,409
29/04/2022 09:22,419
29/04/2022 09:27,415
29/04/2022 09:32,408
29/04/2022 09:37,406
29/04/2022 09:42,413
29/04/2022 09:47,417
29/04/2022 09:52,416
29/04/2022 09:57,422
29/04/2022 10:02,420
29/04/2022 10:07,415
29/04/2022 10:12,437
29/04/2022 10:17,440
29/04/2022 10:22,438
29/04/2022 10:27,425
29/04/2022 10:32,432
29/04/2022 10:37,422
29/04/2022 10:42,427
29/04/2022 10:52,437
29/04/2022 11:02,437
29/04/2022 11:07,437
29/04/2022 11:12,442
29/04/2022 11:17,433
29/04/2022 11:32,453
29/04/2022 11:42,443
29/04/2022 11:52,443
29/04/2022 11:57,460
29/04/2022 12:07,459
29/04/2022 12:12,445
29/04/2022 12:17,443
29/04/2022 12:22,442
29/04/2022 12:27,435
29/04/2022 12:37,468
29/04/2022 12:42,444
29/04/2022 12:47,442
29/04/2022 12:52,449
29/04/2022 13:02,448
29/04/2022 13:07,432
29/04/2022 13:12,437
29/04/2022 13:17,425
29/04/2022 13:22,429
29/04/2022 13:27,426
29/04/2022 13:32,425
29/04/2022 13:37,434
29/04/2022 13:42,419
29/04/2022 13:47,433
29/04/2022 13:52,434
29/04/2022 14:02,429
29/04/2022 14:07,480
29/04/2022 14:12,434
29/04/2022 14:17,430
29/04/2022 14:27,440
29/04/2022 14:32,435
29/04/2022 14:42,457
29/04/2022 14:47,444
29/04/2022 14:52,448
29/04/2022 14:57,438
29/04/2022 15:07,456
29/04/2022 15:12,455
29/04/2022 15:22,447
29/04/2022 15:27,441
29/04/2022 15:32,425
29/04/2022 15:37,428
29/04/2022 15:42,441
29/04/2022 15:52,425
29/04/2022 15:57,428
29/04/2022 16:02,419
29/04/2022 16:17,428
29/04/2022 16:22,444
29/04/2022 16:27,450
29/04/2022 16:32,435
29/04/2022 16:37,433
29/04/2022 16:42,424
29/04/2022 16:47,429
29/04/2022 16:52,421
29/04/2022 16:57,422
29/04/2022 17:02,433
29/04/2022 17:07,433
29/04/2022 17:12,437
29/04/2022 17:17,436
29/04/2022 17:27,436
29/04/2022 17:32,449
29/04/2022 17:42,448
29/04/2022 17:47,435
29/04/2022 17:52,435
29/04/2022 17:57,427
29/04/2022 18:07,456
29/04/2022 18:12,441
29/04/2022 18:17,450
29/04/2022 18:22,451
29/04/2022 18:27,451
29/04/2022 18:32,459
29/04/2022 18:37,424
29/04/2022 19:02,432
29/04/2022 19:07,426
29/04/2022 19:17,425
29/04/2022 19:22,417
29/04/2022 19:32,413
29/04/2022 19:42,415
29/04/2022 19:47,413
29/04/2022 19:52,419
29/04/2022 19:57,413
29/04/2022 20:02,400
29/04/2022 20:07,413
29/04/2022 20:12,405
29/04/2022 20:17,404
29/04/2022 20:22,406
29/04/2022 20:27,399
29/04/2022 20:32,413
29/04/2022 20:42,407
29/04/2022 20:47,403
29/04/2022 21:02,401
29/04/2022 21:07,398
29/04/2022 21:12,412
29/04/2022 21:17,400
29/04/2022 21:22,401
29/04/2022 21:27,412
29/04/2022 21:32,393
29/04/2022 21:37,398
29/04/2022 21:43,407
29/04/2022 21:47,414
29/04/2022 21:57,404
29/04/2022 22:02,405
29/04/2022 22:07,402
29/04/2022 22:12,416
29/04/2022 22:17,396
29/04/2022 22:22,405
29/04/2022 22:27,418
29/04/2022 22:32,401
29/04/2022 22:37,418
29/04/2022 22:42,418
29/04/2022 22:47,417
29/04/2022 22:52,413
29/04/2022 22:57,407
29/04/2022 23:02,403
29/04/2022 23:07,410
29/04/2022 23:12,408
29/04/2022 23:17,401
29/04/2022 23:22,402
29/04/2022 23:27,411
29/04/2022 23:32,409
29/04/2022 23:37,406
29/04/2022 23:42,413
29/04/2022 23:47,413
29/04/2022 23:52,408
29/04/2022 23:57,408
30/04/2022 00:02,406
30/04/2022 00:07,411
30/04/2022 00:12,405
30/04/2022 00:22,416
30/04/2022 00:27,405
30/04/2022 00:32,401
30/04/2022 00:42,404
30/04/2022 00:47,410
30/04/2022 00:52,412
30/04/2022 00:57,404
30/04/2022 01:02,413
30/04/2022 01:07,410
30/04/2022 01:17,398
30/04/2022 01:22,409
30/04/2022 01:32,398
30/04/2022 01:37,392
30/04/2022 01:42,401
30/04/2022 01:47,391
30/04/2022 01:52,398
30/04/2022 01:57,407
30/04/2022 02:02,402
30/04/2022 02:12,409
30/04/2022 02:17,410
30/04/2022 02:22,394
30/04/2022 02:27,399
30/04/2022 02:32,407
30/04/2022 02:37,400
30/04/2022 02:47,403
30/04/2022 02:52,401
30/04/2022 02:57,403
30/04/2022 03:02,405
30/04/2022 03:07,397
30/04/2022 03:12,391
30/04/2022 03:17,396
30/04/2022 03:27,405
30/04/2022 03:32,399
30/04/2022 03:37,390
30/04/2022 03:42,395
30/04/2022 03:47,395
30/04/2022 03:52,389
30/04/2022 04:02,385
30/04/2022 04:07,403
30/04/2022 04:12,398
30/04/2022 04:17,393
30/04/2022 04:27,391
30/04/2022 04:32,395
30/04/2022 04:37,395
30/04/2022 04:42,398
30/04/2022 04:47,399
30/04/2022 04:52,397
30/04/2022 04:57,394
30/04/2022 05:02,404
30/04/2022 05:07,399
30/04/2022 05:12,398
30/04/2022 05:17,405
30/04/2022 05:22,389
30/04/2022 05:27,397
30/04/2022 05:32,397
30/04/2022 05:37,399
30/04/2022 05:47,404
30/04/2022 05:52,391
30/04/2022 06:02,394
30/04/2022 06:07,399
30/04/2022 06:12,397
30/04/2022 06:17,399
30/04/2022 06:22,402
30/04/2022 06:27,401
30/04/2022 06:37,403
30/04/2022 06:42,406
30/04/2022 06:47,409
30/04/2022 06:52,405
30/04/2022 06:57,423
30/04/2022 07:02,414
30/04/2022 07:07,427
30/04/2022 07:12,413
30/04/2022 07:17,398
30/04/2022 07:22,416
30/04/2022 07:27,405
30/04/2022 07:32,409
30/04/2022 07:42,415
30/04/2022 07:47,411
30/04/2022 07:52,412
30/04/2022 07:57,407
30/04/2022 08:02,413
30/04/2022 08:07,407
30/04/2022 08:12,404
30/04/2022 08:17,423
30/04/2022 08:22,411
30/04/2022 08:27,413
30/04/2022 08:32,401
30/04/2022 08:37,407
30/04/2022 08:42,398
30/04/2022 08:47,411
30/04/2022 08:52,406
30/04/2022 09:02,401
30/04/2022 09:07,394
30/04/2022 09:12,409
30/04/2022 09:27,406
30/04/2022 09:32,408
30/04/2022 09:37,398
30/04/2022 09:47,402
30/04/2022 09:52,405
30/04/2022 09:57,393
30/04/2022 10:02,402
30/04/2022 10:12,401
30/04/2022 10:17,414
30/04/2022 10:22,389
30/04/2022 10:27,405
30/04/2022 10:32,408
30/04/2022 10:37,400
30/04/2022 10:42,408
30/04/2022 10:47,390
30/04/2022 10:57,409
30/04/2022 11:02,403
30/04/2022 11:07,397
30/04/2022 11:12,399
30/04/2022 11:17,410
30/04/2022 11:22,393
30/04/2022 11:27,393
30/04/2022 11:32,406
30/04/2022 11:37,398
30/04/2022 11:42,394
30/04/2022 11:47,407
30/04/2022 11:52,403
30/04/2022 11:57,398
30/04/2022 12:02,408
30/04/2022 12:07,398
30/04/2022 12:12,412
30/04/2022 12:17,392
30/04/2022 12:22,405
30/04/2022 12:27,400
30/04/2022 12:32,400
30/04/2022 12:37,405
30/04/2022 12:42,410
30/04/2022 12:47,395
30/04/2022 12:52,400
30/04/2022 12:57,397
30/04/2022 13:02,399
30/04/2022 13:07,393
30/04/2022 13:12,395
30/04/2022 13:17,395
30/04/2022 13:22,398
30/04/2022 13:27,407
30/04/2022 13:32,393
30/04/2022 13:37,392
30/04/2022 13:42,399
30/04/2022 13:47,400
30/04/2022 13:57,411
30/04/2022 14:02,402
30/04/2022 14:07,398
30/04/2022 14:12,395
30/04/2022 14:17,401
30/04/2022 14:22,399
30/04/2022 14:27,385
30/04/2022 14:37,394
30/04/2022 14:42,398
30/04/2022 14:47,404
30/04/2022 14:52,402
30/04/2022 14:57,408
30/04/2022 15:02,393
30/04/2022 15:07,403
30/04/2022 15:12,402
30/04/2022 15:17,398
30/04/2022 15:22,411
30/04/2022 15:27,399
30/04/2022 15:32,395
30/04/2022 15:37,396
30/04/2022 15:42,404
30/04/2022 15:47,404
30/04/2022 15:52,386
30/04/2022 15:57,398
30/04/2022 16:02,401
30/04/2022 16:07,398
30/04/2022 16:12,399
30/04/2022 16:17,396
30/04/2022 16:22,407
30/04/2022 16:27,404
30/04/2022 16:32,402
30/04/2022 16:37,390
30/04/2022 16:42,392
30/04/2022 16:47,398
30/04/2022 16:52,402
30/04/2022 16:57,407
30/04/2022 17:02,393
30/04/2022 17:07,390
30/04/2022 17:12,416
30/04/2022 17:17,405
30/04/2022 17:22,409
30/04/2022 17:27,401
30/04/2022 17:32,399
30/04/2022 17:37,402
30/04/2022 17:42,395
30/04/2022 17:47,404
30/04/2022 17:52,405
30/04/2022 17:57,400
30/04/2022 18:02,399
30/04/2022 18:07,398
30/04/2022 18:17,419
30/04/2022 18:22,402
30/04/2022 18:27,395
30/04/2022 18:37,402
30/04/2022 18:47,413
30/04/2022 18:57,402
30/04/2022 19:02,406
30/04/2022 19:07,410
30/04/2022 19:12,407
30/04/2022 19:17,402
30/04/2022 19:22,413
30/04/2022 19:27,408
30/04/2022 19:32,417
30/04/2022 19:37,410
30/04/2022 19:42,411
30/04/2022 19:47,406
30/04/2022 19:52,412
30/04/2022 19:57,402
30/04/2022 20:02,426
30/04/2022 20:07,418
30/04/2022 20:12,413
30/04/2022 20:17,415
30/04/2022 20:22,406
30/04/2022 20:27,408
30/04/2022 20:32,415
30/04/2022 20:37,393
30/04/2022 20:42,424
30/04/2022 20:47,410
30/04/2022 20:52,415
30/04/2022 20:57,398
30/04/2022 21:02,403
30/04/2022 21:07,404
30/04/2022 21:12,407
30/04/2022 21:27,414
30/04/2022 21:32,414
30/04/2022 21:37,409
30/04/2022 21:47,407
30/04/2022 22:37,414
30/04/2022 23:32,412
30/04/2022 23:37,406
01/05/2022 00:02,406
01/05/2022 00:07,396
01/05/2022 00:12,406
01/05/2022 00:17,408
01/05/2022 00:22,415
01/05/2022 00:27,401
01/05/2022 00:32,406
01/05/2022 00:37,407
01/05/2022 00:47,410
01/05/2022 00:52,405
01/05/2022 01:07,403
01/05/2022 01:12,398
01/05/2022 01:17,402
01/05/2022 01:27,408
01/05/2022 01:37,408
01/05/2022 01:42,425
01/05/2022 01:52,407
